area_sqft,bedrooms,bathrooms,year_built,garage_spaces,lot_size,overall_qual,distance_to_city_km,neighborhood,house_style,heating_type,has_pool,has_basement,central_air,sale_price
1852,5,4.0,1967,2,6595.0,5,14.4,Suburb_North,Single_Family,Oil,0,1,1,228124
1393,3,1.5,1968,2,6220.0,7,36.5,Hillside,Condo,Electric,0,0,1,124888
1767,3,2.0,2007,2,8150.0,6,15.1,Suburb_North,Single_Family,Gas,1,1,0,269329
1432,4,2.0,1961,0,7506.0,6,2.1,Downtown,Condo,Gas,0,1,0,222929
1432,4,1.0,1950,0,7236.0,3,4.0,Lakeside,Condo,Gas,0,0,1,139392
1591,4,2.5,1978,2,6579.0,5,3.0,Hillside,Townhouse,Oil,1,1,0,259285
1789,4,2.0,1998,2,5085.0,6,9.7,Hillside,Single_Family,Electric,0,0,1,272843
1559,3,3.5,2017,1,9490.0,7,4.1,Hillside,Single_Family,Gas,0,1,1,332340
1679,3,2.0,1964,1,,9,5.2,Lakeside,Single_Family,Gas,0,1,0,384978
1954,4,2.0,2013,3,6568.0,8,6.1,Downtown,Single_Family,Gas,0,1,1,442659
1457,4,1.0,1980,2,5808.0,4,12.4,Downtown,Single_Family,Gas,0,1,1,323582
2083,3,1.0,2005,1,7712.0,5,4.6,Downtown,Townhouse,Electric,0,0,1,331646
2665,4,2.0,1958,1,6016.0,6,12.7,Downtown,Single_Family,Gas,1,0,1,456317
1621,5,2.0,2004,2,7613.0,3,32.0,Downtown,Townhouse,Gas,0,1,0,217130
2351,2,3.0,1972,2,8098.0,4,1.0,Lakeside,Single_Family,Gas,0,0,0,338722
2003,3,1.0,1974,1,8382.0,5,0.5,Suburb_North,Single_Family,Solar,0,0,1,236754
2563,2,2.0,1960,0,7084.0,9,4.0,Downtown,Townhouse,Electric,0,1,1,380697
742,2,2.5,1993,2,6885.0,8,0.7,Downtown,Single_Family,Gas,0,1,1,239330
1795,2,2.5,1994,0,6325.0,5,18.7,Suburb_North,Single_Family,Gas,0,1,1,236138
2209,4,2.0,1967,3,5906.0,6,5.5,Suburb_West,Townhouse,Gas,0,1,1,284577
1915,3,2.0,1969,1,8923.0,6,4.6,Suburb_West,Single_Family,Electric,0,1,1,289685
2294,3,2.5,2004,3,4388.0,7,13.3,Downtown,Single_Family,Electric,0,1,1,422087
1974,3,2.0,1997,3,5126.0,7,1.4,Downtown,Single_Family,Oil,0,1,1,454787
1412,4,3.0,2020,2,7634.0,5,3.5,Suburb_South,Condo,Gas,0,0,0,185710
2402,2,1.0,1961,1,3088.0,6,8.8,Suburb_North,Duplex,Gas,1,0,1,254198
1536,2,1.5,1958,1,5835.0,4,6.7,Hillside,Single_Family,Electric,0,0,1,244388
1283,5,1.5,2018,1,7259.0,7,28.0,Suburb_South,Townhouse,Solar,0,0,1,159864
1669,2,2.5,1954,2,6086.0,8,1.7,Suburb_East,Duplex,Gas,1,1,1,251783
1847,4,2.0,1971,2,6292.0,5,5.4,Suburb_West,Condo,Gas,0,0,1,208694
1338,2,2.0,2019,2,10027.0,8,3.5,Suburb_North,Single_Family,Gas,0,1,1,271437
1666,4,2.5,1991,0,9276.0,7,0.5,Lakeside,Single_Family,Gas,0,0,1,359985
2567,3,3.0,1992,3,9200.0,6,0.8,Suburb_South,Townhouse,Gas,0,1,1,275685
1418,6,2.0,2007,2,2515.0,8,3.9,Suburb_North,Single_Family,Gas,0,0,1,233373
1963,2,2.0,1976,1,7451.0,5,1.8,Downtown,Townhouse,Electric,0,1,1,307589
1426,3,3.5,2018,1,3404.0,3,4.1,Lakeside,Single_Family,Gas,0,0,1,221164
1032,4,1.0,1990,1,6295.0,6,3.3,Suburb_East,Single_Family,Gas,0,0,1,156027
2160,2,4.0,1960,1,6974.0,10,2.9,Lakeside,Single_Family,Gas,0,1,1,480352
3344,4,3.0,1952,2,4613.0,9,34.6,Rural,Condo,Electric,1,0,1,245147
1402,3,1.0,1950,3,8919.0,9,4.6,Suburb_South,Condo,Oil,0,1,0,186161
1821,1,3.0,2001,1,5131.0,7,2.3,Suburb_North,Single_Family,Gas,0,1,1,371260
1467,3,1.0,1971,2,5608.0,6,2.6,Suburb_South,Condo,Gas,0,1,1,183235
1510,3,3.5,2023,1,7058.0,6,7.3,Suburb_West,Single_Family,Oil,0,1,1,269267
1625,3,3.0,1955,2,7369.0,5,15.4,Hillside,Single_Family,Gas,0,1,1,275925
1324,3,1.5,1962,2,5892.0,9,11.7,Suburb_South,Duplex,Gas,0,0,1,155014
1817,5,1.0,2021,2,9527.0,6,2.2,Lakeside,Townhouse,Electric,0,0,1,296980
2334,3,2.5,1986,1,4774.0,7,4.3,Lakeside,Condo,Electric,0,0,0,294808
2614,2,3.0,1952,1,4705.0,6,37.0,Hillside,Single_Family,Electric,0,0,1,365313
1247,2,3.0,2015,1,8166.0,8,16.0,Hillside,Single_Family,Gas,0,1,1,262634
2517,5,1.0,1985,2,6912.0,9,10.4,Suburb_North,Townhouse,Electric,0,1,1,365132
1230,3,3.0,2016,1,7230.0,10,14.0,Suburb_East,Condo,Gas,0,1,0,163120
1465,6,3.0,2002,3,10226.0,10,4.0,Suburb_West,Single_Family,Solar,0,1,1,360709
400,6,2.5,1967,2,9478.0,5,0.6,Rural,Duplex,Gas,0,0,1,89720
1408,3,2.0,1956,3,6887.0,5,31.9,Suburb_North,Condo,Oil,1,1,1,189413
1440,6,2.5,1989,0,5933.0,7,9.3,Lakeside,Single_Family,Oil,0,1,1,356383
2511,3,1.0,1999,3,4352.0,9,8.4,Suburb_South,Single_Family,Gas,0,0,0,368577
1023,3,2.0,2006,0,4864.0,6,9.7,Suburb_West,Single_Family,Gas,0,1,1,199220
2472,6,2.0,1951,2,3698.0,5,8.5,Suburb_East,Duplex,Oil,0,1,1,220618
1221,3,2.0,1968,1,1000.0,5,5.7,Suburb_North,Single_Family,Oil,0,0,1,186596
959,3,2.0,1950,2,2897.0,7,4.4,Suburb_North,Single_Family,Electric,0,1,1,187291
2312,3,3.5,1986,0,7030.0,6,0.5,Rural,Duplex,Solar,0,1,1,187207
2508,3,2.0,1956,0,6430.0,7,10.8,Hillside,Single_Family,Gas,0,0,1,277725
1105,4,4.0,2013,1,12150.0,5,15.0,Downtown,Condo,Electric,0,0,0,233872
2462,3,1.0,1976,2,8738.0,8,0.8,Rural,Single_Family,Solar,0,1,1,258203
1654,4,2.5,1972,2,6857.0,5,12.8,Suburb_North,Townhouse,Electric,0,1,1,247639
2029,3,3.5,1982,3,9968.0,4,0.6,Suburb_East,Single_Family,Electric,0,1,1,264443
1686,3,2.0,2022,1,7673.0,7,0.5,Suburb_East,Single_Family,Gas,0,0,1,309666
913,2,1.5,1951,1,9725.0,6,3.2,Suburb_South,Single_Family,Electric,1,0,1,157100
2385,4,2.0,1972,2,4791.0,6,0.5,Suburb_North,Single_Family,Gas,0,1,0,323454
3175,2,2.0,2017,3,9417.0,7,36.7,Downtown,Condo,Gas,0,1,1,396642
945,4,2.5,1974,0,4422.0,4,11.8,Hillside,Single_Family,Gas,0,0,1,162459
1780,2,2.0,1984,0,5554.0,7,30.4,Rural,Condo,Gas,0,1,1,106014
1227,1,2.0,2011,2,5826.0,7,14.5,Suburb_South,Single_Family,Gas,0,0,1,196771
1839,2,2.0,1983,3,8955.0,6,1.0,Suburb_North,Single_Family,Gas,0,1,1,360522
1365,4,2.5,1985,2,2574.0,6,1.1,Suburb_West,Single_Family,Gas,0,0,0,229943
1930,2,1.5,1983,1,10265.0,10,0.5,Suburb_South,Single_Family,Electric,0,0,1,267431
2152,2,2.0,1961,0,7031.0,5,1.7,Lakeside,Condo,Gas,0,0,1,265762
2212,3,2.0,1999,1,7848.0,1,23.2,Suburb_West,Townhouse,Gas,0,1,0,189653
1849,5,1.5,2020,3,1725.0,6,0.8,Lakeside,Single_Family,Electric,1,1,0,379432
1653,4,2.0,2000,3,10541.0,7,4.6,Suburb_East,Condo,,0,1,1,223197
1981,3,1.5,1987,2,7323.0,7,5.7,Suburb_East,Duplex,,0,1,0,167336
1645,2,3.0,1975,0,7786.0,7,3.5,Hillside,Single_Family,Electric,0,0,0,329751
2702,4,2.5,1994,1,8397.0,7,11.4,Suburb_South,Single_Family,Electric,0,1,1,340817
1911,4,3.0,1992,2,8153.0,9,4.5,Suburb_North,Single_Family,Solar,0,1,1,346926
1173,4,2.5,1988,0,11457.0,6,2.4,Suburb_North,Townhouse,Gas,0,0,1,196280
1351,5,1.5,1966,2,8229.0,6,15.3,Rural,Single_Family,Gas,1,1,1,191700
2584,3,2.0,2022,1,1000.0,5,2.9,Suburb_West,Condo,Gas,0,0,1,262578
3348,3,2.5,1951,1,8769.0,8,3.2,Downtown,Duplex,Solar,1,1,1,450141
2303,2,1.5,2004,0,7785.0,9,28.6,Lakeside,Single_Family,Gas,1,0,1,377677
3336,4,2.0,1951,1,7056.0,5,1.5,Rural,Townhouse,Gas,0,1,1,268657
1379,3,3.5,1970,1,5211.0,2,12.2,Suburb_East,Townhouse,Electric,0,0,1,149880
1380,4,2.5,1993,2,6299.0,7,18.0,Suburb_East,Single_Family,Gas,0,0,1,175006
1191,4,2.5,1974,1,7754.0,7,0.5,Lakeside,Single_Family,Gas,0,1,1,294063
1855,3,3.5,2001,1,4790.0,7,5.4,Hillside,Townhouse,Electric,0,0,1,309615
2219,3,3.5,1979,0,13777.0,10,3.2,Suburb_East,Single_Family,Gas,0,0,1,332517
1469,3,2.0,2012,1,6929.0,7,2.5,Lakeside,Townhouse,Electric,1,1,1,328852
2806,3,2.0,1991,1,1000.0,6,6.8,Suburb_South,Single_Family,Gas,0,1,1,378090
1463,2,2.5,1995,0,4848.0,5,1.4,Suburb_North,Single_Family,Gas,1,1,0,255392
2714,4,3.5,1979,2,10578.0,4,0.5,Suburb_West,Single_Family,Electric,0,0,1,377926
1987,6,2.5,2022,3,3542.0,3,0.5,Suburb_East,Condo,Oil,0,1,1,232467
2144,2,2.0,1994,3,11193.0,5,11.4,Downtown,Townhouse,Solar,0,1,1,329234
1211,4,1.0,2010,1,6384.0,8,12.4,Suburb_South,Single_Family,Gas,0,0,0,187037
1000,2,2.5,1987,1,6902.0,8,9.1,Downtown,Townhouse,Electric,1,1,1,223649
938,5,2.0,1953,0,8708.0,4,1.5,Suburb_East,Condo,Gas,1,1,0,131156
1809,1,2.5,1977,1,2697.0,6,4.4,Hillside,Townhouse,,0,1,1,284509
1912,5,1.5,1975,1,7278.0,7,20.4,Suburb_West,Single_Family,Gas,0,1,1,282330
1949,2,2.0,2000,0,4757.0,5,8.1,Hillside,Single_Family,Gas,1,1,1,354903
2634,5,2.0,1972,1,5070.0,5,17.4,Downtown,Townhouse,Gas,0,0,1,350187
2156,4,2.0,1986,3,9441.0,8,2.2,Suburb_East,Townhouse,Gas,0,0,0,272178
2355,3,3.0,1981,0,9978.0,6,4.8,Suburb_North,Single_Family,Electric,1,1,1,340797
1309,3,2.0,2010,0,7911.0,2,2.0,Downtown,Single_Family,Electric,1,1,1,313430
2028,4,2.5,1965,1,3632.0,5,9.1,Suburb_South,Single_Family,Gas,1,1,1,236096
913,6,2.0,1994,2,,6,2.5,Downtown,Duplex,Gas,0,0,0,226880
2126,2,3.0,1987,2,5953.0,4,7.1,Suburb_South,Condo,Gas,0,1,1,185399
1877,6,3.5,2011,0,5222.0,8,2.6,Suburb_North,Single_Family,Gas,1,1,1,391501
2802,6,1.5,1989,1,4830.0,9,1.9,Rural,Single_Family,Electric,0,0,1,301664
823,4,1.0,2011,1,3403.0,8,3.5,Hillside,Condo,Electric,0,0,0,184972
620,3,3.0,1974,0,6382.0,8,0.9,Suburb_South,Townhouse,Electric,0,1,1,150970
2255,4,3.0,1994,1,7966.0,8,4.5,Suburb_North,Single_Family,Electric,1,0,1,359704
2296,2,1.5,2019,2,9422.0,7,0.5,Hillside,Condo,Gas,0,1,0,338781
1994,1,1.0,2000,2,6318.0,10,3.0,Suburb_North,Single_Family,Gas,0,0,1,335002
1619,4,2.0,1975,2,4132.0,3,11.5,Rural,Single_Family,Gas,1,1,1,167535
2731,4,2.5,2018,2,3942.0,9,18.9,Suburb_East,Townhouse,Gas,0,1,0,331765
1517,3,2.0,1987,2,3637.0,7,8.9,Downtown,Duplex,Electric,0,1,1,290784
1823,3,4.0,1993,1,4899.0,9,0.5,Rural,Townhouse,Oil,0,0,1,212338
2122,4,2.0,1953,1,7004.0,3,14.8,Suburb_North,Duplex,Gas,0,0,1,186730
1548,2,2.0,2019,1,9394.0,6,4.1,Downtown,Duplex,Gas,0,1,1,265050
1905,2,2.0,1960,2,6104.0,5,22.9,Lakeside,Single_Family,Electric,0,0,0,263248
2558,4,2.0,2021,3,8668.0,7,17.7,Downtown,Townhouse,Electric,0,1,1,505404
2096,4,3.0,2007,2,7774.0,5,0.5,Downtown,Townhouse,Solar,0,1,0,388208
1746,2,1.5,1994,2,6324.0,7,0.6,Suburb_North,Single_Family,Gas,0,0,1,312617
1296,3,2.0,1965,0,7323.0,6,2.9,Hillside,Townhouse,Gas,0,0,1,201805
1080,3,3.0,1951,2,8727.0,8,2.2,Suburb_East,Single_Family,Electric,0,1,0,219630
2008,3,2.5,1982,1,7084.0,5,3.2,Downtown,Single_Family,Gas,0,0,1,415886
2356,3,2.0,1973,1,10674.0,2,6.4,Rural,Condo,Electric,0,0,1,139944
1486,6,3.0,1965,1,9225.0,7,20.4,Rural,Single_Family,Oil,0,1,1,178887
1860,2,2.0,1953,3,9998.0,3,3.6,Suburb_North,Single_Family,Gas,0,0,1,228783
2311,4,2.0,2003,0,3605.0,5,7.1,Suburb_North,Condo,Gas,0,1,1,253018
1890,2,3.5,1999,3,7703.0,6,5.1,Rural,Single_Family,Oil,0,0,1,219161
1485,4,1.5,2019,2,4258.0,4,3.7,Suburb_East,Duplex,Gas,0,1,0,159525
836,1,2.5,1968,2,7397.0,10,24.0,Suburb_North,Single_Family,Gas,0,1,1,188246
1261,3,1.5,2007,0,7356.0,5,14.3,Suburb_North,Townhouse,Oil,0,1,1,156930
2077,4,3.0,1986,0,1246.0,4,2.3,Downtown,Single_Family,Gas,1,1,1,337284
2180,4,2.0,2019,1,9340.0,6,0.9,Suburb_West,Single_Family,Gas,0,1,1,321976
2432,5,2.0,1984,2,,5,0.5,Suburb_West,Townhouse,Electric,0,1,1,325200
1792,3,3.0,2020,2,10826.0,5,3.7,Suburb_North,Single_Family,Electric,1,1,1,334908
1688,2,3.5,2010,0,7244.0,2,2.2,Lakeside,Single_Family,Gas,0,0,0,241795
1918,4,4.0,1975,2,7719.0,6,1.4,Suburb_East,Single_Family,Gas,0,1,1,306289
2185,3,3.5,2018,1,9163.0,9,13.0,Suburb_South,Condo,Gas,1,0,1,288701
1440,3,3.0,1986,2,1048.0,6,17.3,Downtown,Duplex,Gas,0,0,1,219162
1030,2,3.5,1976,2,6710.0,5,7.1,Suburb_North,Single_Family,Gas,0,1,1,195842
980,3,2.0,2015,0,11412.0,7,6.4,Lakeside,Townhouse,Electric,0,1,1,245908
913,4,2.5,2020,1,7602.0,5,18.5,Suburb_South,Single_Family,Electric,0,1,1,168013
1584,2,2.0,1962,1,,7,16.3,Lakeside,Townhouse,Gas,1,1,0,242410
615,3,4.0,1974,1,4721.0,7,0.5,Hillside,Single_Family,Gas,0,1,1,201670
1236,3,3.0,2017,2,6950.0,3,5.7,Downtown,Single_Family,Oil,0,0,1,269698
2323,2,3.0,2022,2,4544.0,10,12.6,Suburb_South,Single_Family,Electric,1,0,1,348690
1308,3,2.5,1993,2,1487.0,9,0.5,Suburb_North,Townhouse,Gas,0,1,1,175725
3098,3,2.0,2009,2,2556.0,3,3.0,Downtown,Single_Family,Solar,0,1,1,463042
1984,5,2.5,1987,1,8887.0,5,3.8,Suburb_West,Townhouse,Electric,0,1,1,322430
3379,3,3.5,2012,2,8191.0,7,22.1,Suburb_West,Townhouse,Gas,0,1,1,409141
2174,2,1.0,1959,0,9955.0,5,11.3,Downtown,Single_Family,Gas,0,1,0,350051
1776,3,4.0,1967,2,10840.0,8,7.6,Downtown,Townhouse,Gas,0,1,1,357893
2926,4,2.0,2001,0,9818.0,7,4.2,Suburb_North,Condo,Oil,1,0,1,412381
3036,5,2.0,2001,2,5096.0,9,14.3,Suburb_South,Single_Family,Gas,0,1,1,340460
1733,3,2.0,2004,2,6730.0,3,8.2,Suburb_North,Condo,Electric,0,1,1,201675
1665,3,2.5,2013,2,8925.0,6,25.5,Suburb_North,Duplex,Solar,0,0,0,207341
1462,3,2.0,2009,0,,10,6.6,Suburb_East,Single_Family,Electric,0,0,1,264266
1928,5,3.0,1972,2,5514.0,5,5.0,Suburb_North,Townhouse,Electric,0,0,1,287261
955,4,2.5,1961,1,12339.0,6,5.1,Suburb_South,Single_Family,,1,1,1,149833
2685,3,2.0,2017,1,9254.0,10,1.9,Hillside,Duplex,Gas,0,0,0,369091
1469,3,2.0,1971,2,3669.0,6,5.0,Suburb_South,Townhouse,Gas,0,0,1,189730
1082,3,3.0,2008,2,8121.0,8,7.0,Suburb_North,Single_Family,Electric,0,0,1,260976
1762,4,2.0,1971,1,5358.0,4,5.1,Lakeside,Townhouse,Electric,0,0,0,248390
1378,6,1.5,2010,1,6268.0,5,0.9,Suburb_South,Condo,Gas,0,1,0,158583
2198,4,2.5,1984,2,7220.0,8,12.1,Lakeside,Single_Family,Gas,0,1,1,397530
1764,5,2.5,2002,1,,7,11.3,Lakeside,Townhouse,Gas,0,1,1,286751
1947,4,2.5,1998,1,7338.0,6,7.9,Lakeside,Single_Family,Electric,0,1,1,281760
1087,5,3.0,1960,2,7560.0,9,8.6,Downtown,Townhouse,Oil,0,1,0,263062
419,2,2.0,1991,1,10679.0,5,18.4,Suburb_South,Duplex,Electric,0,1,1,80437
1889,3,1.0,1965,2,6184.0,9,2.9,Hillside,Single_Family,Solar,1,0,1,379855
1835,4,1.0,1982,1,6396.0,6,3.5,Suburb_South,Condo,Gas,1,0,0,205834
978,2,3.0,1951,1,7612.0,6,15.4,Suburb_West,Single_Family,Gas,1,0,1,193930
1912,5,4.0,2014,1,10609.0,4,15.2,Lakeside,Single_Family,Gas,0,1,1,353089
1816,3,2.0,1995,2,4058.0,9,22.3,Suburb_South,Townhouse,Gas,0,1,1,220732
1811,5,2.0,1999,3,9161.0,7,2.6,Lakeside,Condo,Electric,0,1,1,285483
1509,2,1.0,1996,2,6537.0,8,15.7,Suburb_North,Single_Family,Oil,0,1,1,228914
2102,4,2.0,2014,2,6077.0,6,2.7,Suburb_East,Condo,Oil,0,1,1,210690
1439,2,2.0,1965,2,5095.0,5,0.5,Suburb_South,Townhouse,Gas,0,0,0,150134
1296,4,3.5,1989,2,3306.0,10,7.3,Suburb_North,Single_Family,Gas,0,1,1,311870
1054,5,2.5,1977,1,5858.0,5,7.6,Suburb_South,Single_Family,Electric,0,1,1,178461
1980,2,2.0,1979,1,7489.0,10,32.4,Hillside,Condo,Oil,0,1,1,291598
1128,4,2.5,1957,0,5062.0,6,10.0,Suburb_North,Townhouse,Gas,0,1,0,165238
1090,2,2.0,2011,1,6078.0,8,1.6,Hillside,Single_Family,Electric,0,0,1,277208
1903,3,2.5,2002,2,2089.0,9,32.2,Suburb_West,Condo,Gas,1,0,1,234675
1696,4,3.5,1974,2,6357.0,8,12.0,Lakeside,Townhouse,Electric,0,0,1,323595
2036,4,3.0,1978,1,6841.0,7,20.5,Suburb_South,Single_Family,Electric,0,0,1,220647
1425,2,1.0,1992,1,7086.0,9,3.6,Suburb_North,Single_Family,Electric,0,1,1,292130
909,2,1.5,1976,2,6855.0,5,2.2,Rural,Townhouse,Electric,0,0,1,121597
2807,2,3.0,1954,3,3561.0,8,13.3,Downtown,Townhouse,Electric,0,0,1,472066
2783,3,3.5,2007,1,8020.0,7,1.9,Lakeside,Condo,Solar,0,1,0,353099
2543,1,1.5,1961,2,8525.0,7,7.0,Lakeside,Single_Family,Electric,0,1,1,390686
1326,3,3.0,1984,1,10586.0,7,3.1,Suburb_North,Condo,Gas,0,1,1,194777
2496,4,1.0,2022,2,5992.0,4,7.6,Hillside,Single_Family,Electric,0,1,0,313089
2391,3,2.5,2007,0,5044.0,2,5.7,Hillside,Townhouse,Gas,0,0,1,278318
1659,3,1.5,1964,1,4309.0,8,4.7,Downtown,Single_Family,Electric,0,1,1,330093
1760,3,2.5,1988,3,5364.0,5,0.6,Downtown,Single_Family,Electric,0,0,1,352768
1956,4,1.0,1995,0,1054.0,9,0.5,Rural,Condo,Gas,0,0,0,194949
400,5,2.5,1969,0,3215.0,5,2.0,Hillside,Condo,Gas,0,1,0,121228
1863,3,4.0,1973,2,6632.0,8,35.6,Suburb_West,Townhouse,Solar,0,1,1,269154
1207,2,2.0,1984,1,2706.0,8,0.8,Hillside,Townhouse,Gas,0,1,1,231306
2457,3,1.5,1985,1,9716.0,2,1.0,Suburb_East,Duplex,Gas,0,1,1,259634
1872,6,1.5,2013,3,8718.0,9,0.5,Suburb_West,Condo,Gas,0,1,1,213383
2665,3,3.0,2014,1,5719.0,8,0.5,Rural,Single_Family,Gas,0,0,1,306413
1802,3,2.0,1966,0,4689.0,7,11.5,Suburb_West,Condo,,0,0,1,234088
1206,2,3.0,1976,3,11361.0,5,0.5,Suburb_South,Single_Family,Gas,1,1,1,236427
2447,4,2.5,2016,2,6024.0,9,6.3,Suburb_West,Single_Family,Oil,0,0,1,372486
1529,4,2.5,1991,2,11014.0,7,1.6,Suburb_West,Single_Family,Gas,0,1,1,316588
2099,4,2.0,2004,1,,6,2.8,Suburb_East,Townhouse,Gas,0,0,0,229673
2298,4,2.5,1964,2,6212.0,2,3.8,Downtown,Single_Family,Electric,1,1,1,347050
2881,3,2.0,1982,1,8717.0,9,6.7,Suburb_North,Single_Family,Gas,0,1,1,469786
3264,4,3.0,1978,0,8622.0,4,11.6,Suburb_North,Townhouse,Electric,0,1,1,392838
1142,2,3.0,2000,0,4667.0,7,0.5,Downtown,Single_Family,Gas,0,0,0,321395
585,2,3.0,1954,3,10480.0,4,0.9,Lakeside,Duplex,Oil,0,0,1,112518
1638,3,1.0,2016,3,2611.0,7,0.6,Suburb_South,Duplex,Gas,0,1,0,176901
1918,3,1.5,1992,2,7357.0,6,0.5,Suburb_North,Single_Family,Electric,0,1,1,361471
1409,3,2.0,1992,2,1700.0,4,12.1,Lakeside,Single_Family,Electric,1,1,1,301342
813,3,2.0,1950,1,11549.0,8,4.3,Suburb_North,Single_Family,Gas,0,0,1,197637
1843,2,2.0,1999,1,8788.0,10,15.5,Rural,Single_Family,Solar,0,0,1,162486
2109,3,3.0,1993,2,6446.0,8,14.5,Suburb_South,Single_Family,Gas,0,1,1,280207
2398,3,1.5,1989,0,11745.0,9,3.0,Suburb_West,Single_Family,Electric,0,1,1,371831
1310,5,1.0,1997,2,9406.0,8,0.6,Suburb_North,Townhouse,Gas,0,1,1,235340
1704,2,4.0,1951,2,4755.0,3,4.5,Suburb_South,Condo,Gas,0,1,0,164843
1999,4,2.5,2022,1,11730.0,7,8.2,Rural,Single_Family,Oil,0,1,1,262208
2166,2,2.5,2021,2,9023.0,7,6.0,Hillside,Single_Family,Gas,1,0,1,408723
2152,3,1.5,2016,2,6223.0,6,0.5,Suburb_South,Single_Family,Solar,0,1,1,274805
2029,2,2.0,1976,1,8202.0,9,1.7,Lakeside,Single_Family,Electric,0,1,1,413833
1846,5,2.5,1971,3,9947.0,4,6.8,Suburb_East,Single_Family,Electric,0,1,1,252095
1984,3,2.0,1997,2,7441.0,2,5.3,Rural,Single_Family,Electric,1,0,1,178441
2850,3,3.0,1993,2,5713.0,7,1.7,Suburb_East,Single_Family,Gas,0,1,1,379703
5424,3,4.0,1979,2,7310.0,6,4.1,Downtown,Condo,Gas,0,0,1,561417
2035,3,2.0,2019,0,6364.0,8,3.8,Suburb_South,Single_Family,Oil,0,0,1,257274
